CountryName	CountryCode	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
IDA only	IDX	40.07523322	40.18155218	40.35974381	40.58813673	40.70279622	40.8357059	39.65825906	40.01080378	39.81277735	..	..
IDA total	IDA	42.42426765	42.57046382	42.70712961	42.84810016	42.78003495	42.93973341	42.12663575	42.44021654	42.25969201	..	..
India	IND	60.58341377	60.50941918	60.4132262	60.45930465	60.56390611	60.39741826	60.43004315	60.42062566	60.63520999	..	..
Indonesia	IDN	28.61937435	28.4283798	29.25639087	29.80839824	30.69161004	30.69161004	31.18841668	31.18841668	31.46442036	..	..
"Iran, Islamic Rep."	IRN	29.2474901	29.38319364	29.51889718	28.66660526	28.59721838	28.53397194	28.46642719	28.40563692	28.34484664	..	..
Iraq	IRQ	21.46923657	20.5546791	20.89763816	18.72556417	18.07423098	18.92613741	19.63989685	19.72854117	21.25161171	..	..
Ireland	IRL	62.44737988	61.83771229	62.06996661	60.96821019	60.80708376	66.30860793	66.11990129	65.8005516	64.98766149	..	..
Isle of Man	IMY	80.87719298	74.21052632	74.03508772	77.71929825	76.12280702	76.10526316	74.68421053	67.36842105	68.07017544	..	..
Israel	ISR	23.7754159	23.51201479	23.94177449	23.82624769	24.14972274	23.31330869	23.8909427	24.31608133	24.04343808	..	..
Italy	ITA	50.09859251	48.28653022	48.14714082	49.15074454	47.53654722	48.71081798	47.09526076	46.6750527	46.33847828	..	..
Jamaica	JAM	43.1209603	43.1209603	42.84395199	41.45891043	41.45891043	40.99722992	40.99722992	40.99722992	40.99722992	..	..
Japan	JPN	12.87242798	12.81481481	12.75720165	12.69684499	12.64471879	12.59909477	12.51114372	12.47805574	12.44513935	..	..
Jordan	JOR	11.4800544	11.53671804	10.91681777	11.02107888	11.54539311	11.28970489	11.29308403	11.76954269	11.90132913	..	..
Kazakhstan	KAZ	78.63318146	78.48149794	78.3181835	78.10178909	78.07656406	80.43923399	80.37504167	80.38378338	80.37711598	..	..
Kenya	KEN	47.44351126	47.53487718	47.56298977	47.58934533	47.94075271	48.00224901	48.54693046	48.72263415	48.54693046	..	..
Kiribati	KIR	41.97530864	41.97530864	41.97530864	41.97530864	41.97530864	41.97530864	41.97530864	41.97530864	41.97530864	..	..
"Korea, Dem. People’s Rep."	PRK	21.59289096	21.59289096	21.59289096	22.00813886	22.17423802	22.2572876	21.8420397	21.8420397	21.8420397	..	..
"Korea, Rep."	KOR	19.42178627	19.17836499	18.98472967	18.72616716	18.48609681	18.23511262	18.06129795	18.36671803	18.14684095	..	..
Kuwait	KWT	8.417508418	8.417508418	8.47362514	8.47362514	8.501683502	8.529741863	8.557800224	8.529741863	8.61952862	..	..
Kyrgyz Republic	KGZ	56.02189781	55.94942649	55.93639208	55.92909281	55.3561001	55.32794578	55.31021898	55.22054223	55.19186653	..	..
Lao PDR	LAO	8.600519931	8.773830156	8.93847487	9.116117851	9.393414211	9.618717504	9.863518198	9.961005199	10.1169844	..	..
Late-demographic dividend	LTE	35.10087131	35.07645185	35.0289409	35.08256208	35.08568442	35.20202063	35.25060133	35.27713963	35.46025874	..	..
Latin America & Caribbean	LCN	36.49413395	36.64750635	36.783237	36.91536491	36.92233902	37.08130107	37.18371228	37.31178227	37.5883795	..	..
Latin America & Caribbean (excluding high income)	LAC	36.67604749	36.84906385	37.00276502	37.13276287	37.13201768	37.32101834	37.42277686	37.57001429	37.85476098	..	..
Latin America & the Caribbean (IDA & IBRD countries)	TLA	36.38223485	36.53733004	36.67474739	36.81030321	36.81980273	36.98242491	37.08817403	37.21712181	37.49862531	..	..
Latvia	LVA	27.87960641	29.82506914	29.56781787	29.342723	29.47893213	29.00064267	29.19614148	29.60759087	30.03698344	..	..
Least developed countries: UN classification	LDC	39.77766216	39.87161035	40.03362934	40.26679913	40.4084454	40.54493015	39.33937547	39.69689263	39.5099249	..	..
Lebanon	LBN	63.83186706	66.37341153	66.18768328	64.80938416	64.80938416	62.56109482	63.63636364	64.32062561	64.32062561	..	..
Lesotho	LSO	76.64690382	75.98814229	76.71277997	77.7997365	77.04216074	76.61396574	76.15283267	75.27338603	74.1798419	..	..
Liberia	LBR	27.14908638	27.14908638	27.14908638	27.30481728	27.51245847	27.61627907	28.08347176	28.13538206	28.03156146	..	..
Libya	LBY	8.743762574	8.743762574	8.743762574	8.743762574	8.743762574	8.724439342	8.724439342	8.726712664	8.726712664	..	..
Liechtenstein	LIE	43.125	42.5	42.5	42.5	40.625	39.375	37.5	37.5	35	..	..
Lithuania	LTU	45.26164646	44.52297384	43.01052967	42.63422417	42.90386917	44.23294775	44.76976099	45.34894853	46.13322696	..	..
